Gene_name,String_protein_id
ACP6,9606.ENSP00000463574
ACP7,9606.ENSP00000327557
ACPP,9606.ENSP00000323036
ACR,9606.ENSP00000216139
ACRBP,9606.ENSP00000229243
ACRV1,9606.ENSP00000432816
ACSBG1,9606.ENSP00000258873
ACSBG2,9606.ENSP00000465589
ACSF2,9606.ENSP00000401831
ACSF3,9606.ENSP00000479130
ACSL1,9606.ENSP00000422607
ACSL3,9606.ENSP00000350012
ACSL4,9606.ENSP00000339787
ACSL5,9606.ENSP00000348429
ACSL6,9606.ENSP00000498260
ACSM1,9606.ENSP00000301956
ACSM2A,9606.ENSP00000459451
ACSM2B,9606.ENSP00000327453
ACSM3,9606.ENSP00000289416
ACSM4,9606.ENSP00000382349
ACSM5,9606.ENSP00000327916
ACSM6,9606.ENSP00000340296
ACSS1,9606.ENSP00000316924
ACSS2,9606.ENSP00000253382
ACSS3,9606.ENSP00000449535
ACTA1,9606.ENSP00000355645
ACTA2,9606.ENSP00000224784
ACTB,9606.ENSP00000494750
ACTBL2,9606.ENSP00000416706
ACTC1,9606.ENSP00000290378
ACTG1,9606.ENSP00000458162
ACTG2,9606.ENSP00000386857
ACTL10,9606.ENSP00000329647
ACTL6A,9606.ENSP00000397552
ACTL6B,9606.ENSP00000160382
ACTL7A,9606.ENSP00000334300
ACTL7B,9606.ENSP00000363799
ACTL8,9606.ENSP00000364555
ACTL9,9606.ENSP00000316674
ACTN1,9606.ENSP00000377941
ACTN2,9606.ENSP00000355537
ACTN3,9606.ENSP00000422007
ACTN4,9606.ENSP00000252699
ACTR10,9606.ENSP00000254286
ACTR1A,9606.ENSP00000358921
ACTR1B,9606.ENSP00000289228
ACTR2,9606.ENSP00000367220
ACTR3,9606.ENSP00000263238
ACTR3B,9606.ENSP00000256001
ACTR3C,9606.ENSP00000252071
ACTR5,9606.ENSP00000243903
ACTR6,9606.ENSP00000188312
ACTR8,9606.ENSP00000336842
ACTRT1,9606.ENSP00000360165
ACTRT2,9606.ENSP00000367658
ACTRT3,9606.ENSP00000333037
ACVR1,9606.ENSP00000405004
ACVR1B,9606.ENSP00000442656
ACVR1C,9606.ENSP00000243349
ACVR2A,9606.ENSP00000241416
ACVR2B,9606.ENSP00000340361
ACVRL1,9606.ENSP00000373574
ACY1,9606.ENSP00000384296
ACY3,9606.ENSP00000255082
ACYP1,9606.ENSP00000450873
ACYP2,9606.ENSP00000475986
ADA,9606.ENSP00000361965
ADA2,9606.ENSP00000382731
ADAD1,9606.ENSP00000296513
ADAD2,9606.ENSP00000268624
ADAL,9606.ENSP00000456242
ADAM10,9606.ENSP00000260408
ADAM11,9606.ENSP00000200557
ADAM12,9606.ENSP00000357668
ADAM15,9606.ENSP00000349436
ADAM17,9606.ENSP00000309968
ADAM18,9606.ENSP00000265707
ADAM19,9606.ENSP00000257527
ADAM2,9606.ENSP00000265708
ADAM20,9606.ENSP00000498512
ADAM21,9606.ENSP00000474385
ADAM22,9606.ENSP00000265727
ADAM23,9606.ENSP00000264377
ADAM28,9606.ENSP00000265769
ADAM29,9606.ENSP00000484862
ADAM30,9606.ENSP00000358407
ADAM32,9606.ENSP00000369238
ADAM33,9606.ENSP00000348912
ADAM7,9606.ENSP00000175238
ADAM8,9606.ENSP00000453302
ADAM9,9606.ENSP00000419446
ADAMDEC1,9606.ENSP00000256412
ADAMTS1,9606.ENSP00000284984
