Gene_name,PB_id
ABCC2,SMP0000433
ABCC2,SMP0000434
ABCC2,SMP0000435
ABCC2,SMP0000436
ABCC2,SMP0000437
ABCC2,SMP0000438
ABCC2,SMP0000439
ABCC2,SMP0000600
ABCC2,SMP0000637
ABCC2,SMP0000649
ABCC2,SMP0000650
ABCC2,SMP0000652
ABCC3,SMP0000436
ABCC3,SMP0000437
ABCC3,SMP0000438
ABCC3,SMP0000439
ABCC3,SMP0000442
ABCC3,SMP0000601
ABCC3,SMP0000649
ABCC4,SMP0000427
ABCC4,SMP0000428
ABCC4,SMP0000430
ABCC4,SMP0000609
ABCC4,SMP0000640
ABCC4,SMP0000649
ABCC4,SMP0086608
ABCC5,SMP0000427
ABCC5,SMP0000428
ABCC5,SMP0000430
ABCC5,SMP0000609
ABCC5,SMP0000640
ABCC8,SMP0000296
ABCC8,SMP0000297
ABCC8,SMP0000298
ABCC8,SMP0000299
ABCC8,SMP0000300
ABCC8,SMP0000301
ABCC8,SMP0000302
ABCC8,SMP0000303
ABCC8,SMP0000304
ABCC8,SMP0000305
ABCC8,SMP0000306
ABCC8,SMP0000307
ABCC8,SMP0000323
ABCC8,SMP0000324
ABCC8,SMP0000325
ABCC8,SMP0000326
ABCC8,SMP0000327
ABCC8,SMP0000328
ABCC8,SMP0000329
ABCC8,SMP0000330
ABCC8,SMP0000331
ABCC8,SMP0000332
ABCC8,SMP0000359
ABCC8,SMP0000366
ABCC8,SMP0000367
ABCC8,SMP0000368
ABCC8,SMP0000375
ABCC8,SMP0000376
ABCC8,SMP0000377
ABCC8,SMP0000378
ABCC8,SMP0000379
ABCC8,SMP0000380
ABCC8,SMP0000381
ABCC8,SMP0000382
ABCC8,SMP0000453
ABCC8,SMP0000454
ABCC8,SMP0000460
ABCC8,SMP0000461
ABCC8,SMP0000588
ABCC8,SMP0000657
ABCC8,SMP0000658
ABCC8,SMP0000659
ABCC8,SMP0000660
ABCC8,SMP0000661
ABCC8,SMP0000662
ABCC8,SMP0000663
ABCC8,SMP0000664
ABCC8,SMP0000665
ABCC8,SMP0000666
ABCC8,SMP0000667
ABCC8,SMP0000668
ABCC8,SMP0000669
ABCC8,SMP0000670
Abcc8,SMP0119395
Abcc8,SMP0119397
ABCC8,SMP0121018
ABCC8,SMP0121029
ABCC8,SMP0121128
Abcc9,SMP0119370
Abcc9,SMP0119372
Abcc9,SMP0119395
Abcd1,SMP0086926
ABCD1,SMP0087217
ABCD1,SMP0087255
ABCD1,SMP0087259
Abcd2,SMP0063598
Abcd2,SMP0063653
Abcd2,SMP0086926
Abcd2,SMP0087312
Abcd2,SMP0087348
Abcd2,SMP0087352
Abcd2,SMP0120529
Abcd2,SMP0120581
Abcd2,SMP0120582
Abcd2,SMP0120749
Abcd2,SMP0120800
Abcd2,SMP0120801
ABCG2,SMP0000433
ABCG2,SMP0000434
ABCG2,SMP0000435
ABCG2,SMP0000472
ABCG2,SMP0000600
ABCG2,SMP0000640
ABCG2,SMP0000649
ABCG2,SMP0000650
ABCG2,SMP0000652
ABP1,SMP0000044
ABP1,SMP0000191
ABP1,SMP0000006
ABP1,SMP0000169
ABP1,SMP0000190
ABP1,SMP0000218
ABP1,SMP0000429
